fecha,barrio,estrato,consumo_energia_kwh,consumo_agua_m3,consumo_gas_m3,reclamaciones,interrupciones,duracion_promedio_interrupciones,estado_medidor,tecnico_asignado,consumo_sospechoso,fraude_detectado,lectura_estimada
2022-01-01,Las Mercedes,5,0.0,9.147541181577369,14.045893927162634,0,0,29.256764813843134,bien,María G.,no,0,no
2022-01-01,Los Robles,4,140.63388797716243,34.3908435025111,17.792820328015885,2,1,50.644936284076714,mal calibrado,María G.,,0,no
2022-01-01,Santa María,5,254.43902687398509,24.04062841742785,14.782586882877313,3,1,31.011870360713367,dañado,,,0,no
2022-01-01,Villa Carolina,6,248.46838281089651,29.616320748578765,,0,2,36.98403872666371,,María G.,No,1,no
2022-01-01,Altos del Prado,2,238.94128152664848,,20.55411152664904,1,1,38.35829620400643,bien,Juan C.,,0,no
2022-01-01,El Tabor,3,262.9200640211716,37.47928572092751,12.125570006061416,2,2,37.58995811738559,bien,Carlos Ruiz,,0,no
2022-01-01,San Felipe,2,163.0256246180683,39.64626688137575,21.570822668520698,5,1,46.38603257140356,bien,Juan C.,,0,no
01-01-2022,Montecristo,3,173.35183029253378,18.72839532788661,20.71090707671913,2,1,34.09095350379145,mal calibrado,,,0,no
2022-01-01,Lucero,2,175.71531941648897,37.298172200337554,17.788750404687324,1,1,51.96805770173742,bien,Carlos Ruiz,,0,no
2022-01-01,Los Alpes,1,228.86453936035355,24.139022698162435,14.926342911819807,2,1,41.821226261050434,bien,,,0,no
2022-01-01,Campo Alegre,4,10.146800384965672,39.010043653668106,14.010392701397901,1,3,32.49458099657836,dañado,,,0,no
2022-01-01,La Concepción,4,202.05818969263743,12.737775219426219,17.586055133361675,0,0,38.81177958110694,bien,,,0,no
2022-01-01,Nueva Granada,2,252.59310496569077,7.319043772971625,11.601272823294964,0,1,36.690326658603055,bien,María G.,,0,no
2022-01-01,Betania,2,281.0260946638673,19.77748989967921,3.279692310707034,3,1,61.06339549543881,bien,,,0,no
2022-01-01,Villa Santos,4,36.52353480292487,19.321337042899238,12.940969271305185,3,0,56.26635015573166,bien,María G.,,0,no
2022-02-01,Las Mercedes,3,197.25505760546378,31.98398584525092,13.947696673412935,1,2,35.82478548653476,bien,María G.,,0,no
2022-02-01,Los Robles,3,238.00920272304904,32.81365745862488,22.130651792928127,1,1,34.44905343353585,mal calibrado,María G.,,0,no
2022-02-01,Santa María,1,228.6726107010827,30.005672528328617,21.56463649802368,1,1,35.243153329283956,bien,Laura Pérez,,0,no
