,,,TIEMPO,,,,
UBICACION_GEOGRAFICA,TIPO DE TRÁMITE,CAUSAL,Año,,,,
MUNICIPIO,TIPO DE TRÁMITE,DETALLE,2021,2022,2023,2024,2025
BARANOA,QUEJA,SUSPENSION O CORTE DEL SERVICIO,8,226,553,155,0
BARANOA,QUEJA,INTERRUPCIONES EN LA PRESTACION DEL SERVICIO,612,88,125,87,2
BARANOA,QUEJA,ESTADO DE LAS INFRAESTRUCTURA,3,234,310,86,0
BARANOA,QUEJA,QUEJAS ADMINISTRATIVAS,3,197,308,96,1
BARANOA,QUEJA,ENTREGA INOPORTUNA O NO ENTREGA DE LA FACTURA,43,122,121,55,0
BARANOA,QUEJA,INCONFORMIDAD CON EL CAMBIO O CON EL COBRO DEL MEDIDOR,21,52,152,58,0
BARANOA,QUEJA,FALLAS EN LA CONEXION DEL SERVICIO,1,55,146,51,0
BARANOA,QUEJA,INCONFORMIDAD POR LA NORMALIZACION DEL SERVICIO,2,114,66,41,0
BARANOA,QUEJA,INCONFORMIDAD CON LA MEDICION DEL CONSUMO O PRODUCCION FACTURADO,0,0,30,102,15
BARANOA,QUEJA,VARIACIONES EN LAS CARACTERISTICAS DEL SUMINISTRO O PRESTACION DEL SERVICIO,25,46,66,9,0
BARANOA,QUEJA,COBROS POR PROMEDIO,0,2,19,84,1
BARANOA,QUEJA,COBRO DE CARGOS RELACIONADOS CON EL SERVICIO PUBLICO,0,2,28,76,0
BARANOA,QUEJA,NO CONEXION DEL SERVICIO,0,0,1,77,0
BARANOA,QUEJA,SUSCRIPTOR QUE EFECTUA EL PAGO PERO ESTE NO ES APLICADO POR LA EMPRESA EN LA FACTURACION,0,13,33,14,0
BARANOA,QUEJA,"COBROS POR CONEXION, RECONEXION, REINSTALACION",0,1,5,45,1
BARANOA,QUEJA,COBRO DE OTROS BIENES O SERVICIOS EN LA FACTURA,0,18,20,12,0
BARANOA,QUEJA,COBRO POR SERVICIOS NO PRESTADOS,0,0,2,37,0
BARANOA,QUEJA,NO ATENCION DE CONDICIONES DE SEGURIDAD O RIESGO,4,4,1,2,0
BARANOA,QUEJA,"CLASE DE USO INCORRECTO (INDUSTRIAL, COMERCIAL, OFICIAL, OTROS)",0,0,0,3,0
BARANOA,QUEJA,DATOS GENERALES INCORRECTOS,0,0,2,0,0
BARANOA,QUEJA,TERMINACION DEL CONTRATO,0,1,0,0,0
BARANOA,RECLAMACION,COBRO DE CARGOS RELACIONADOS CON EL SERVICIO PUBLICO,133,"3,523","5,705","9,203","2,263"
BARANOA,RECLAMACION,INCONFORMIDAD CON LA MEDICION DEL CONSUMO O PRODUCCION FACTURADO,"1,117","4,137","4,687","7,061","1,731"
BARANOA,RECLAMACION,COBROS POR PROMEDIO,"1,557","2,599","2,780","4,957","1,431"
BARANOA,RECLAMACION,COBRO POR SERVICIOS NO PRESTADOS,26,"1,469","2,293","5,899","1,514"
BARANOA,RECLAMACION,"COBROS POR CONEXION, RECONEXION, REINSTALACION",94,662,"1,649","5,678","1,996"
BARANOA,RECLAMACION,NO CONEXION DEL SERVICIO,10,288,"1,062",428,2
BARANOA,RECLAMACION,INCONFORMIDAD CON EL CAMBIO O CON EL COBRO DEL MEDIDOR,58,603,489,544,96
BARANOA,RECLAMACION,SOLICITUD DE ROMPIMIENTO DE SOLIDARIDAD,397,190,576,507,111
