,,,TIEMPO,,,,
UBICACION_GEOGRAFICA,TIPO DE TRÁMITE,CAUSAL,Año,,,,
MUNICIPIO,TIPO DE TRÁMITE,DETALLE,2021,2022,2023,2024,2025
BARANOA,QUEJA,ESTADO DE LAS INFRAESTRUCTURA,2,259,326,217,44
BARANOA,QUEJA,SUSPENSION O CORTE DEL SERVICIO,0,173,364,216,60
BARANOA,QUEJA,INCONFORMIDAD CON EL CAMBIO O CON EL COBRO DEL MEDIDOR,0,41,98,80,18
BARANOA,QUEJA,QUEJAS ADMINISTRATIVAS,0,58,80,71,19
BARANOA,QUEJA,ENTREGA INOPORTUNA O NO ENTREGA DE LA FACTURA,1,38,69,72,21
BARANOA,QUEJA,NO CONEXION DEL SERVICIO,0,0,0,147,0
BARANOA,QUEJA,INCONFORMIDAD CON LA MEDICION DEL CONSUMO O PRODUCCION FACTURADO,0,0,37,76,8
BARANOA,QUEJA,COBRO DE CARGOS RELACIONADOS CON EL SERVICIO PUBLICO,0,1,46,32,0
BARANOA,QUEJA,SUSCRIPTOR QUE EFECTUA EL PAGO PERO ESTE NO ES APLICADO POR LA EMPRESA EN LA FACTURACION,0,16,30,26,3
BARANOA,QUEJA,COBROS POR PROMEDIO,0,0,20,38,1
BARANOA,QUEJA,FALLAS EN LA CONEXION DEL SERVICIO,0,7,15,16,9
BARANOA,QUEJA,COBRO POR SERVICIOS NO PRESTADOS,0,0,9,35,0
BARANOA,QUEJA,COBRO DE OTROS BIENES O SERVICIOS EN LA FACTURA,0,7,13,20,4
BARANOA,QUEJA,"COBROS POR CONEXION, RECONEXION, REINSTALACION",0,0,1,34,1
BARANOA,QUEJA,NO ATENCION DE CONDICIONES DE SEGURIDAD O RIESGO,0,10,11,3,1
BARANOA,QUEJA,DATOS GENERALES INCORRECTOS,0,0,2,6,0
BARANOA,QUEJA,TERMINACION DEL CONTRATO,0,0,0,1,0
BARANOA,RECLAMACION,COBRO DE CARGOS RELACIONADOS CON EL SERVICIO PUBLICO,42,"2,159","3,693","5,042","1,560"
BARANOA,RECLAMACION,INCONFORMIDAD CON LA MEDICION DEL CONSUMO O PRODUCCION FACTURADO,378,"2,845","3,218","4,009","1,180"
BARANOA,RECLAMACION,COBRO POR SERVICIOS NO PRESTADOS,588,"1,549","2,019","4,341","1,305"
BARANOA,RECLAMACION,COBROS POR PROMEDIO,639,"1,127","1,333","2,398",854
BARANOA,RECLAMACION,"COBROS POR CONEXION, RECONEXION, REINSTALACION",12,355,"1,039","3,418","1,288"
BARANOA,RECLAMACION,NO CONEXION DEL SERVICIO,4,219,699,632,247
BARANOA,RECLAMACION,INCONFORMIDAD CON EL CAMBIO O CON EL COBRO DEL MEDIDOR,1,220,339,455,119
BARANOA,RECLAMACION,SOLICITUD DE ROMPIMIENTO DE SOLIDARIDAD,148,96,345,413,85
BARANOA,RECLAMACION,"CLASE DE USO INCORRECTO (INDUSTRIAL, COMERCIAL, OFICIAL, OTROS)",11,90,214,442,115
BARANOA,RECLAMACION,ESTRATO INCORRECTO,0,229,75,120,30
BARANOA,RECLAMACION,QUEJAS ADMINISTRATIVAS,1,100,223,122,1
BARANOA,RECLAMACION,COBRO POR CONSUMOS DEJADOS DE FACTURAR O RECUPERACION DE ENERGÍA,0,26,140,203,61
BARANOA,RECLAMACION,SUSCRIPTOR QUE EFECTUA EL PAGO PERO ESTE NO ES APLICADO POR LA EMPRESA EN LA FACTURACION,0,56,92,67,5
