,,,TIEMPO,,,,
UBICACION_GEOGRAFICA,TIPO DE TRÁMITE,CAUSAL,Año,,,,
MUNICIPIO,TIPO DE TRÁMITE,DETALLE,2021,2022,2023,2024,2025
BARANOA,QUEJA,INTERRUPCIONES EN LA PRESTACION DEL SERVICIO,28,85,33,34,16
BARANOA,RECLAMACION,INCONFORMIDAD CON LA MEDICION DEL CONSUMO O PRODUCCION FACTURADO,"4,112","5,809","7,018","3,054",684
BARANOA,RECLAMACION,VARIACIONES EN LAS CARACTERISTICAS DEL SUMINISTRO O PRESTACION DEL SERVICIO,"6,284","2,928","3,398","2,262",947
BARANOA,RECLAMACION,SOLICITUD DE ROMPIMIENTO DE SOLIDARIDAD,767,"1,436","7,072","1,740",38
BARANOA,RECLAMACION,COBROS POR PROMEDIO,"1,313","2,052","3,048","1,982",778
BARANOA,RECLAMACION,INCONFORMIDAD CON EL AFORO,892,"2,405","1,579",466,93
BARANOA,RECLAMACION,COBRO POR SERVICIOS NO PRESTADOS,0,583,"2,149","1,504",515
BARANOA,RECLAMACION,COBRO DE OTROS BIENES O SERVICIOS EN LA FACTURA,"1,577","1,426",282,101,5
BARANOA,RECLAMACION,COBRO POR RECONEXION NO AUTORIZADA,311,"2,417",0,0,0
BARANOA,RECLAMACION,"COBROS POR CONEXION, RECONEXION, REINSTALACION",615,887,630,267,293
BARANOA,RECLAMACION,ESTRATO INCORRECTO,927,551,622,282,15
BARANOA,RECLAMACION,COBRO DE CARGOS RELACIONADOS CON EL SERVICIO PUBLICO,"1,110","1,143",55,0,0
BARANOA,RECLAMACION,DATOS GENERALES INCORRECTOS,0,160,946,862,227
BARANOA,RECLAMACION,SUSCRIPTOR QUE EFECTUA EL PAGO PERO ESTE NO ES APLICADO POR LA EMPRESA EN LA FACTURACION,249,278,642,277,71
BARANOA,RECLAMACION,COBRO POR CONSUMOS DEJADOS DE FACTURAR O RECUPERACION DE ENERGÍA,272,291,406,320,169
BARANOA,RECLAMACION,COBRO MULTIPLE Y/O ACUMULADO,400,506,335,125,18
BARANOA,RECLAMACION,INCONFORMIDAD POR LA NORMALIZACION DEL SERVICIO,0,188,616,294,38
BARANOA,RECLAMACION,"CLASE DE USO INCORRECTO (INDUSTRIAL, COMERCIAL, OFICIAL, OTROS)",409,551,63,0,0
BARANOA,RECLAMACION,COBROS INOPORTUNOS,0,331,295,136,97
BARANOA,RECLAMACION,ENTREGA INOPORTUNA O NO ENTREGA DE LA FACTURA,141,57,83,49,15
BARANOA,RECLAMACION,ESTADO DE LAS INFRAESTRUCTURA,0,27,170,95,40
BARANOA,RECLAMACION,COBRO DE CONSUMO REGISTRADO POR MEDIDOR DE OTRO PREDIO,35,139,60,16,4
BARANOA,RECLAMACION,NO ATENCION DE CONDICIONES DE SEGURIDAD O RIESGO,114,60,6,23,18
BARANOA,RECLAMACION,INTERRUPCIONES EN LA PRESTACION DEL SERVICIO,2,6,85,78,21
BARANOA,RECLAMACION,SUSPENSION O CORTE DEL SERVICIO,0,10,36,31,6
BARANOA,RECLAMACION,SUBSIDIOS Y CONTRIBUCIONES,17,6,0,0,0
BARANOA,RECLAMACION,INCONFORMIDAD CON EL CAMBIO O CON EL COBRO DEL MEDIDOR,0,0,4,11,5
BARANOA,RECLAMACION,COBRO DE REVISIONES,0,3,0,0,0
BARANOA,RECLAMACION,QUEJAS ADMINISTRATIVAS,0,1,0,0,0
