,,,TIEMPO,,,,
UBICACION_GEOGRAFICA,TIPO DE TRÁMITE,CAUSAL,Año,,,,
MUNICIPIO,TIPO DE TRÁMITE,DETALLE,2021,2022,2023,2024,2025
BARANOA,QUEJA,ENTREGA INOPORTUNA O NO ENTREGA DE LA FACTURA,19,35,52,19,4
BARANOA,QUEJA,SUSPENSION O CORTE DEL SERVICIO,10,23,24,7,5
BARANOA,QUEJA,NO CONEXION DEL SERVICIO,0,2,0,0,0
BARANOA,QUEJA,FALLAS EN LA CONEXION DEL SERVICIO,0,1,0,0,0
BARANOA,QUEJA,TERMINACION DEL CONTRATO,0,1,0,0,0
BARANOA,QUEJA,INCONFORMIDAD CON EL CAMBIO O CON EL COBRO DEL MEDIDOR,0,0,0,1,0
BARANOA,QUEJA,DATOS GENERALES INCORRECTOS,0,0,0,0,1
BARANOA,RECLAMACION,INCONFORMIDAD CON LA MEDICION DEL CONSUMO O PRODUCCION FACTURADO,284,192,211,105,21
BARANOA,RECLAMACION,"COBROS POR CONEXION, RECONEXION, REINSTALACION",52,50,42,37,14
BARANOA,RECLAMACION,COBROS POR PROMEDIO,47,40,26,34,4
BARANOA,RECLAMACION,COBRO POR CONSUMOS DEJADOS DE FACTURAR O RECUPERACION DE ENERGÍA,13,7,4,11,1
BARANOA,RECLAMACION,COBRO DE CARGOS RELACIONADOS CON EL SERVICIO PUBLICO,16,18,1,1,0
BARANOA,RECLAMACION,SOLICITUD DE ROMPIMIENTO DE SOLIDARIDAD,13,2,14,2,0
BARANOA,RECLAMACION,SUSCRIPTOR QUE EFECTUA EL PAGO PERO ESTE NO ES APLICADO POR LA EMPRESA EN LA FACTURACION,16,5,3,1,0
BARANOA,RECLAMACION,COBRO DE OTROS BIENES O SERVICIOS EN LA FACTURA,9,1,11,4,0
BARANOA,RECLAMACION,ESTRATO INCORRECTO,12,4,1,0,2
BARANOA,RECLAMACION,COBRO POR RECONEXION NO AUTORIZADA,1,8,0,0,0
BARANOA,RECLAMACION,COBROS INOPORTUNOS,0,4,1,0,2
BARANOA,RECLAMACION,COBRO POR SERVICIOS NO PRESTADOS,1,0,2,2,0
BARANOA,RECLAMACION,SUBSIDIOS Y CONTRIBUCIONES,0,0,2,0,0
BARANOA,RECLAMACION,INCONFORMIDAD POR DESVIACION SIGNIFICATIVA,0,0,1,0,0
BARANOA,RECLAMACION,INCONFORMIDAD CON EL CAMBIO O CON EL COBRO DEL MEDIDOR,0,0,0,1,0
BARANOA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,INCONFORMIDAD CON LA MEDICION DEL CONSUMO O PRODUCCION FACTURADO,52,11,17,2,0
BARANOA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,"COBROS POR CONEXION, RECONEXION, REINSTALACION",25,3,1,2,1
BARANOA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,COBROS POR PROMEDIO,10,5,0,2,0
BARANOA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,COBRO POR CONSUMOS DEJADOS DE FACTURAR O RECUPERACION DE ENERGÍA,12,0,0,0,0
BARANOA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,SOLICITUD DE ROMPIMIENTO DE SOLIDARIDAD,6,0,1,1,0
BARANOA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,COBROS INOPORTUNOS,0,0,4,0,0
