MUNICIPIO,TIPO DE TRÁMITE,DETALLE,Año,Número de Reclamos,Fecha
BARANOA,QUEJA,SUSPENSION O CORTE DEL SERVICIO,2021,8,2021-01-01
BARANOA,QUEJA,INTERRUPCIONES EN LA PRESTACION DEL SERVICIO,2021,612,2021-01-01
BARANOA,QUEJA,ESTADO DE LAS INFRAESTRUCTURA,2021,3,2021-01-01
BARANOA,QUEJA,QUEJAS ADMINISTRATIVAS,2021,3,2021-01-01
BARANOA,QUEJA,ENTREGA INOPORTUNA O NO ENTREGA DE LA FACTURA,2021,43,2021-01-01
BARANOA,QUEJA,INCONFORMIDAD CON EL CAMBIO O CON EL COBRO DEL MEDIDOR,2021,21,2021-01-01
BARANOA,QUEJA,FALLAS EN LA CONEXION DEL SERVICIO,2021,1,2021-01-01
BARANOA,QUEJA,INCONFORMIDAD POR LA NORMALIZACION DEL SERVICIO,2021,2,2021-01-01
BARANOA,QUEJA,INCONFORMIDAD CON LA MEDICION DEL CONSUMO O PRODUCCION FACTURADO,2021,0,2021-01-01
BARANOA,QUEJA,VARIACIONES EN LAS CARACTERISTICAS DEL SUMINISTRO O PRESTACION DEL SERVICIO,2021,25,2021-01-01
BARANOA,QUEJA,COBROS POR PROMEDIO,2021,0,2021-01-01
BARANOA,QUEJA,COBRO DE CARGOS RELACIONADOS CON EL SERVICIO PUBLICO,2021,0,2021-01-01
BARANOA,QUEJA,NO CONEXION DEL SERVICIO,2021,0,2021-01-01
BARANOA,QUEJA,SUSCRIPTOR QUE EFECTUA EL PAGO PERO ESTE NO ES APLICADO POR LA EMPRESA EN LA FACTURACION,2021,0,2021-01-01
BARANOA,QUEJA,"COBROS POR CONEXION, RECONEXION, REINSTALACION",2021,0,2021-01-01
BARANOA,QUEJA,COBRO DE OTROS BIENES O SERVICIOS EN LA FACTURA,2021,0,2021-01-01
BARANOA,QUEJA,COBRO POR SERVICIOS NO PRESTADOS,2021,0,2021-01-01
BARANOA,QUEJA,NO ATENCION DE CONDICIONES DE SEGURIDAD O RIESGO,2021,4,2021-01-01
