MUNICIPIO,TIPO DE TRÁMITE,DETALLE,Año,Número de Reclamos,Fecha
BARANOA,QUEJA,ESTADO DE LAS INFRAESTRUCTURA,2021,2,2021-01-01
BARANOA,QUEJA,SUSPENSION O CORTE DEL SERVICIO,2021,0,2021-01-01
BARANOA,QUEJA,INCONFORMIDAD CON EL CAMBIO O CON EL COBRO DEL MEDIDOR,2021,0,2021-01-01
BARANOA,QUEJA,QUEJAS ADMINISTRATIVAS,2021,0,2021-01-01
BARANOA,QUEJA,ENTREGA INOPORTUNA O NO ENTREGA DE LA FACTURA,2021,1,2021-01-01
BARANOA,QUEJA,NO CONEXION DEL SERVICIO,2021,0,2021-01-01
BARANOA,QUEJA,INCONFORMIDAD CON LA MEDICION DEL CONSUMO O PRODUCCION FACTURADO,2021,0,2021-01-01
BARANOA,QUEJA,COBRO DE CARGOS RELACIONADOS CON EL SERVICIO PUBLICO,2021,0,2021-01-01
BARANOA,QUEJA,SUSCRIPTOR QUE EFECTUA EL PAGO PERO ESTE NO ES APLICADO POR LA EMPRESA EN LA FACTURACION,2021,0,2021-01-01
BARANOA,QUEJA,COBROS POR PROMEDIO,2021,0,2021-01-01
BARANOA,QUEJA,FALLAS EN LA CONEXION DEL SERVICIO,2021,0,2021-01-01
BARANOA,QUEJA,COBRO POR SERVICIOS NO PRESTADOS,2021,0,2021-01-01
BARANOA,QUEJA,COBRO DE OTROS BIENES O SERVICIOS EN LA FACTURA,2021,0,2021-01-01
BARANOA,QUEJA,"COBROS POR CONEXION, RECONEXION, REINSTALACION",2021,0,2021-01-01
BARANOA,QUEJA,NO ATENCION DE CONDICIONES DE SEGURIDAD O RIESGO,2021,0,2021-01-01
BARANOA,QUEJA,DATOS GENERALES INCORRECTOS,2021,0,2021-01-01
BARANOA,QUEJA,TERMINACION DEL CONTRATO,2021,0,2021-01-01
BARANOA,RECLAMACION,COBRO DE CARGOS RELACIONADOS CON EL SERVICIO PUBLICO,2021,42,2021-01-01
BARANOA,RECLAMACION,INCONFORMIDAD CON LA MEDICION DEL CONSUMO O PRODUCCION FACTURADO,2021,378,2021-01-01
BARANOA,RECLAMACION,COBRO POR SERVICIOS NO PRESTADOS,2021,588,2021-01-01
BARANOA,RECLAMACION,COBROS POR PROMEDIO,2021,639,2021-01-01
BARANOA,RECLAMACION,"COBROS POR CONEXION, RECONEXION, REINSTALACION",2021,12,2021-01-01
BARANOA,RECLAMACION,NO CONEXION DEL SERVICIO,2021,4,2021-01-01
BARANOA,RECLAMACION,INCONFORMIDAD CON EL CAMBIO O CON EL COBRO DEL MEDIDOR,2021,1,2021-01-01
BARANOA,RECLAMACION,SOLICITUD DE ROMPIMIENTO DE SOLIDARIDAD,2021,148,2021-01-01
BARANOA,RECLAMACION,"CLASE DE USO INCORRECTO (INDUSTRIAL, COMERCIAL, OFICIAL, OTROS)",2021,11,2021-01-01
BARANOA,RECLAMACION,ESTRATO INCORRECTO,2021,0,2021-01-01
BARANOA,RECLAMACION,QUEJAS ADMINISTRATIVAS,2021,1,2021-01-01
BARANOA,RECLAMACION,COBRO POR CONSUMOS DEJADOS DE FACTURAR O RECUPERACION DE ENERGÍA,2021,0,2021-01-01
BARANOA,RECLAMACION,SUSCRIPTOR QUE EFECTUA EL PAGO PERO ESTE NO ES APLICADO POR LA EMPRESA EN LA FACTURACION,2021,0,2021-01-01
BARANOA,RECLAMACION,SUBSIDIOS Y CONTRIBUCIONES,2021,0,2021-01-01
BARANOA,RECLAMACION,TERMINACION DEL CONTRATO,2021,1,2021-01-01
BARANOA,RECLAMACION,SUSPENSION O CORTE DEL SERVICIO,2021,0,2021-01-01
BARANOA,RECLAMACION,COBRO MULTIPLE Y/O ACUMULADO,2021,0,2021-01-01
BARANOA,RECLAMACION,COBRO DE OTROS BIENES O SERVICIOS EN LA FACTURA,2021,0,2021-01-01
BARANOA,RECLAMACION,ESTADO DE LAS INFRAESTRUCTURA,2021,0,2021-01-01
BARANOA,RECLAMACION,TARIFA INCORRECTA,2021,6,2021-01-01
BARANOA,RECLAMACION,ENTREGA INOPORTUNA O NO ENTREGA DE LA FACTURA,2021,0,2021-01-01
BARANOA,RECLAMACION,DATOS GENERALES INCORRECTOS,2021,2,2021-01-01
BARANOA,RECURSO DE REPOSICION,COBRO DE CARGOS RELACIONADOS CON EL SERVICIO PUBLICO,2021,0,2021-01-01
BARANOA,RECURSO DE REPOSICION,COBRO POR SERVICIOS NO PRESTADOS,2021,0,2021-01-01
BARANOA,RECURSO DE REPOSICION,INCONFORMIDAD CON LA MEDICION DEL CONSUMO O PRODUCCION FACTURADO,2021,0,2021-01-01
BARANOA,RECURSO DE REPOSICION,"COBROS POR CONEXION, RECONEXION, REINSTALACION",2021,10,2021-01-01
BARANOA,RECURSO DE REPOSICION,COBRO POR CONSUMOS DEJADOS DE FACTURAR O RECUPERACION DE ENERGÍA,2021,0,2021-01-01
BARANOA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,COBRO DE CARGOS RELACIONADOS CON EL SERVICIO PUBLICO,2021,14,2021-01-01
BARANOA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,INCONFORMIDAD CON LA MEDICION DEL CONSUMO O PRODUCCION FACTURADO,2021,53,2021-01-01
BARANOA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,COBRO POR SERVICIOS NO PRESTADOS,2021,204,2021-01-01
BARANOA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,COBROS POR PROMEDIO,2021,115,2021-01-01
BARANOA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,SOLICITUD DE ROMPIMIENTO DE SOLIDARIDAD,2021,148,2021-01-01
BARANOA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,"COBROS POR CONEXION, RECONEXION, REINSTALACION",2021,0,2021-01-01
BARANOA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,INCONFORMIDAD CON EL CAMBIO O CON EL COBRO DEL MEDIDOR,2021,0,2021-01-01
BARANOA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,"CLASE DE USO INCORRECTO (INDUSTRIAL, COMERCIAL, OFICIAL, OTROS)",2021,1,2021-01-01
BARANOA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,SUBSIDIOS Y CONTRIBUCIONES,2021,0,2021-01-01
BARANOA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,COBRO POR CONSUMOS DEJADOS DE FACTURAR O RECUPERACION DE ENERGÍA,2021,0,2021-01-01
BARANOA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,SUSPENSION O CORTE DEL SERVICIO,2021,0,2021-01-01
