MUNICIPIO,TIPO DE TRÁMITE,DETALLE,Año,Número de Reclamos,Fecha
BARANOA,QUEJA,INTERRUPCIONES EN LA PRESTACION DEL SERVICIO,2021,51,2021-01-01
BARANOA,QUEJA,VARIACIONES EN LAS CARACTERISTICAS DEL SUMINISTRO O PRESTACION DEL SERVICIO,2021,20,2021-01-01
BARANOA,QUEJA,AFECTACION AMBIENTAL,2021,6,2021-01-01
BARANOA,QUEJA,QUEJAS ADMINISTRATIVAS,2021,6,2021-01-01
BARANOA,QUEJA,NO ATENCION DE CONDICIONES DE SEGURIDAD O RIESGO,2021,7,2021-01-01
BARANOA,QUEJA,NEGATIVA DE PRESTACION DE UN SERVICIO ESPECIAL,2021,5,2021-01-01
BARANOA,RECLAMACION,DESCUENTO POR PREDIO DESOCUPADO,2021,633,2021-01-01
BARANOA,RECLAMACION,TARIFA INCORRECTA,2021,204,2021-01-01
BARANOA,RECLAMACION,COBRO POR NUMERO DE UNIDADES INDEPENDIENTES,2021,1,2021-01-01
BARANOA,RECLAMACION,COBRO DE CARGOS RELACIONADOS CON EL SERVICIO PUBLICO,2021,44,2021-01-01
BARANOA,RECLAMACION,TERMINACION DEL CONTRATO,2021,79,2021-01-01
BARANOA,RECLAMACION,COBRO POR SERVICIOS NO PRESTADOS,2021,59,2021-01-01
BARANOA,RECLAMACION,ESTRATO INCORRECTO,2021,44,2021-01-01
BARANOA,RECLAMACION,DESCUENTO POR NO RECOLECCION PUERTA A PUERTA,2021,145,2021-01-01
BARANOA,RECLAMACION,COBRO MULTIPLE Y/O ACUMULADO,2021,46,2021-01-01
BARANOA,RECLAMACION,COBRO DE OTROS BIENES O SERVICIOS EN LA FACTURA,2021,0,2021-01-01
BARANOA,RECLAMACION,"CLASE DE USO INCORRECTO (INDUSTRIAL, COMERCIAL, OFICIAL, OTROS)",2021,7,2021-01-01
BARANOA,RECLAMACION,FRECUENCIAS ADICIONALES DE BARRIDO,2021,0,2021-01-01
BARANOA,RECLAMACION,COBROS POR PROMEDIO,2021,0,2021-01-01
BARANOA,RECLAMACION,INCONFORMIDAD CON EL AFORO,2021,0,2021-01-01
BARANOA,RECURSO DE REPOSICION,COBRO DE CARGOS RELACIONADOS CON EL SERVICIO PUBLICO,2021,1,2021-01-01
BARANOA,RECURSO DE REPOSICION,DESCUENTO POR PREDIO DESOCUPADO,2021,0,2021-01-01
BARANOA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,TARIFA INCORRECTA,2021,0,2021-01-01
BARANOA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,COBRO DE CARGOS RELACIONADOS CON EL SERVICIO PUBLICO,2021,0,2021-01-01
