MUNICIPIO,TIPO DE TRÁMITE,DETALLE,Año,Número de Reclamos,Fecha
BARANOA,QUEJA,INTERRUPCIONES EN LA PRESTACION DEL SERVICIO,2021,28,2021-01-01
BARANOA,RECLAMACION,INCONFORMIDAD CON LA MEDICION DEL CONSUMO O PRODUCCION FACTURADO,2021,4112,2021-01-01
BARANOA,RECLAMACION,VARIACIONES EN LAS CARACTERISTICAS DEL SUMINISTRO O PRESTACION DEL SERVICIO,2021,6284,2021-01-01
BARANOA,RECLAMACION,SOLICITUD DE ROMPIMIENTO DE SOLIDARIDAD,2021,767,2021-01-01
BARANOA,RECLAMACION,COBROS POR PROMEDIO,2021,1313,2021-01-01
BARANOA,RECLAMACION,INCONFORMIDAD CON EL AFORO,2021,892,2021-01-01
BARANOA,RECLAMACION,COBRO POR SERVICIOS NO PRESTADOS,2021,0,2021-01-01
BARANOA,RECLAMACION,COBRO DE OTROS BIENES O SERVICIOS EN LA FACTURA,2021,1577,2021-01-01
BARANOA,RECLAMACION,COBRO POR RECONEXION NO AUTORIZADA,2021,311,2021-01-01
BARANOA,RECLAMACION,"COBROS POR CONEXION, RECONEXION, REINSTALACION",2021,615,2021-01-01
BARANOA,RECLAMACION,ESTRATO INCORRECTO,2021,927,2021-01-01
BARANOA,RECLAMACION,COBRO DE CARGOS RELACIONADOS CON EL SERVICIO PUBLICO,2021,1110,2021-01-01
BARANOA,RECLAMACION,DATOS GENERALES INCORRECTOS,2021,0,2021-01-01
BARANOA,RECLAMACION,SUSCRIPTOR QUE EFECTUA EL PAGO PERO ESTE NO ES APLICADO POR LA EMPRESA EN LA FACTURACION,2021,249,2021-01-01
BARANOA,RECLAMACION,COBRO POR CONSUMOS DEJADOS DE FACTURAR O RECUPERACION DE ENERGÍA,2021,272,2021-01-01
BARANOA,RECLAMACION,COBRO MULTIPLE Y/O ACUMULADO,2021,400,2021-01-01
BARANOA,RECLAMACION,INCONFORMIDAD POR LA NORMALIZACION DEL SERVICIO,2021,0,2021-01-01
BARANOA,RECLAMACION,"CLASE DE USO INCORRECTO (INDUSTRIAL, COMERCIAL, OFICIAL, OTROS)",2021,409,2021-01-01
BARANOA,RECLAMACION,COBROS INOPORTUNOS,2021,0,2021-01-01
BARANOA,RECLAMACION,ENTREGA INOPORTUNA O NO ENTREGA DE LA FACTURA,2021,141,2021-01-01
BARANOA,RECLAMACION,ESTADO DE LAS INFRAESTRUCTURA,2021,0,2021-01-01
BARANOA,RECLAMACION,COBRO DE CONSUMO REGISTRADO POR MEDIDOR DE OTRO PREDIO,2021,35,2021-01-01
BARANOA,RECLAMACION,NO ATENCION DE CONDICIONES DE SEGURIDAD O RIESGO,2021,114,2021-01-01
BARANOA,RECLAMACION,INTERRUPCIONES EN LA PRESTACION DEL SERVICIO,2021,2,2021-01-01
BARANOA,RECLAMACION,SUSPENSION O CORTE DEL SERVICIO,2021,0,2021-01-01
BARANOA,RECLAMACION,SUBSIDIOS Y CONTRIBUCIONES,2021,17,2021-01-01
BARANOA,RECLAMACION,INCONFORMIDAD CON EL CAMBIO O CON EL COBRO DEL MEDIDOR,2021,0,2021-01-01
BARANOA,RECLAMACION,COBRO DE REVISIONES,2021,0,2021-01-01
BARANOA,RECLAMACION,QUEJAS ADMINISTRATIVAS,2021,0,2021-01-01
BARANOA,RECLAMACION,FALLAS EN LA CONEXION DEL SERVICIO,2021,0,2021-01-01
BARANOA,RECURSO DE REPOSICION,INCONFORMIDAD CON LA MEDICION DEL CONSUMO O PRODUCCION FACTURADO,2021,63,2021-01-01
BARANOA,RECURSO DE REPOSICION,COBRO DE CARGOS RELACIONADOS CON EL SERVICIO PUBLICO,2021,65,2021-01-01
BARANOA,RECURSO DE REPOSICION,COBRO MULTIPLE Y/O ACUMULADO,2021,44,2021-01-01
BARANOA,RECURSO DE REPOSICION,COBRO POR CONSUMOS DEJADOS DE FACTURAR O RECUPERACION DE ENERGÍA,2021,39,2021-01-01
BARANOA,RECURSO DE REPOSICION,COBROS POR PROMEDIO,2021,12,2021-01-01
