MUNICIPIO,TIPO DE TRÁMITE,DETALLE,Año,Número de Reclamos,Fecha
BARANOA,QUEJA,ENTREGA INOPORTUNA O NO ENTREGA DE LA FACTURA,2021,19,2021-01-01
BARANOA,QUEJA,SUSPENSION O CORTE DEL SERVICIO,2021,10,2021-01-01
BARANOA,QUEJA,NO CONEXION DEL SERVICIO,2021,0,2021-01-01
BARANOA,QUEJA,FALLAS EN LA CONEXION DEL SERVICIO,2021,0,2021-01-01
BARANOA,QUEJA,TERMINACION DEL CONTRATO,2021,0,2021-01-01
BARANOA,QUEJA,INCONFORMIDAD CON EL CAMBIO O CON EL COBRO DEL MEDIDOR,2021,0,2021-01-01
BARANOA,QUEJA,DATOS GENERALES INCORRECTOS,2021,0,2021-01-01
BARANOA,RECLAMACION,INCONFORMIDAD CON LA MEDICION DEL CONSUMO O PRODUCCION FACTURADO,2021,284,2021-01-01
BARANOA,RECLAMACION,"COBROS POR CONEXION, RECONEXION, REINSTALACION",2021,52,2021-01-01
BARANOA,RECLAMACION,COBROS POR PROMEDIO,2021,47,2021-01-01
BARANOA,RECLAMACION,COBRO POR CONSUMOS DEJADOS DE FACTURAR O RECUPERACION DE ENERGÍA,2021,13,2021-01-01
BARANOA,RECLAMACION,COBRO DE CARGOS RELACIONADOS CON EL SERVICIO PUBLICO,2021,16,2021-01-01
BARANOA,RECLAMACION,SOLICITUD DE ROMPIMIENTO DE SOLIDARIDAD,2021,13,2021-01-01
BARANOA,RECLAMACION,SUSCRIPTOR QUE EFECTUA EL PAGO PERO ESTE NO ES APLICADO POR LA EMPRESA EN LA FACTURACION,2021,16,2021-01-01
BARANOA,RECLAMACION,COBRO DE OTROS BIENES O SERVICIOS EN LA FACTURA,2021,9,2021-01-01
BARANOA,RECLAMACION,ESTRATO INCORRECTO,2021,12,2021-01-01
BARANOA,RECLAMACION,COBRO POR RECONEXION NO AUTORIZADA,2021,1,2021-01-01
BARANOA,RECLAMACION,COBROS INOPORTUNOS,2021,0,2021-01-01
BARANOA,RECLAMACION,COBRO POR SERVICIOS NO PRESTADOS,2021,1,2021-01-01
BARANOA,RECLAMACION,SUBSIDIOS Y CONTRIBUCIONES,2021,0,2021-01-01
BARANOA,RECLAMACION,INCONFORMIDAD POR DESVIACION SIGNIFICATIVA,2021,0,2021-01-01
BARANOA,RECLAMACION,INCONFORMIDAD CON EL CAMBIO O CON EL COBRO DEL MEDIDOR,2021,0,2021-01-01
BARANOA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,INCONFORMIDAD CON LA MEDICION DEL CONSUMO O PRODUCCION FACTURADO,2021,52,2021-01-01
BARANOA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,"COBROS POR CONEXION, RECONEXION, REINSTALACION",2021,25,2021-01-01
BARANOA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,COBROS POR PROMEDIO,2021,10,2021-01-01
BARANOA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,COBRO POR CONSUMOS DEJADOS DE FACTURAR O RECUPERACION DE ENERGÍA,2021,12,2021-01-01
BARANOA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,SOLICITUD DE ROMPIMIENTO DE SOLIDARIDAD,2021,6,2021-01-01
BARANOA,RECURSO DE REPOSICION Y SUBSIDIARIO DE APELACION,COBROS INOPORTUNOS,2021,0,2021-01-01
