MUNICIPIO,EMPRESA,MEDIDA,SERVICIO,VALOR
BARANOA,"82-SOCIEDAD DE ACUEDUCTO, ALCANTARILLADO Y ASEO DE BARRANQUILLA S.A. E.S.P.",Facturación total,ACUEDUCTO,61253932570.0
BARANOA,"82-SOCIEDAD DE ACUEDUCTO, ALCANTARILLADO Y ASEO DE BARRANQUILLA S.A. E.S.P.",Consumo total ,ACUEDUCTO,3850631.0
BARANOA,"82-SOCIEDAD DE ACUEDUCTO, ALCANTARILLADO Y ASEO DE BARRANQUILLA S.A. E.S.P.",Numero de suscriptores ,ACUEDUCTO,11892.0
BARANOA,"82-SOCIEDAD DE ACUEDUCTO, ALCANTARILLADO Y ASEO DE BARRANQUILLA S.A. E.S.P.",Subsidios,ACUEDUCTO,2558589111.0
BARANOA,"82-SOCIEDAD DE ACUEDUCTO, ALCANTARILLADO Y ASEO DE BARRANQUILLA S.A. E.S.P.",Contribuciones,ACUEDUCTO,368329079.0
BARANOA,"82-SOCIEDAD DE ACUEDUCTO, ALCANTARILLADO Y ASEO DE BARRANQUILLA S.A. E.S.P.",Promedio de Facturación total ,ACUEDUCTO,5150852.05
BARANOA,"82-SOCIEDAD DE ACUEDUCTO, ALCANTARILLADO Y ASEO DE BARRANQUILLA S.A. E.S.P.",Promedio de Consumo,ACUEDUCTO,323.8
BARANOA,"82-SOCIEDAD DE ACUEDUCTO, ALCANTARILLADO Y ASEO DE BARRANQUILLA S.A. E.S.P.",Numero de periodos,ACUEDUCTO,1.0
BARANOA,2322-VATIA S.A. E.S.P.,Facturación total,ACUEDUCTO,0.0
BARANOA,2322-VATIA S.A. E.S.P.,Facturación por consumo,ACUEDUCTO,0.0
BARANOA,2322-VATIA S.A. E.S.P.,Consumo total ,ACUEDUCTO,0.0
BARANOA,2322-VATIA S.A. E.S.P.,Contribuciones,ACUEDUCTO,0.0
BARANOA,2322-VATIA S.A. E.S.P.,Numero de periodos,ACUEDUCTO,0.0
BARANOA,20437-ENERTOTAL S.A. E.S.P.,Facturación total,ACUEDUCTO,0.0
BARANOA,20437-ENERTOTAL S.A. E.S.P.,Facturación por consumo,ACUEDUCTO,0.0
BARANOA,20437-ENERTOTAL S.A. E.S.P.,Consumo total ,ACUEDUCTO,0.0
BARANOA,20437-ENERTOTAL S.A. E.S.P.,Contribuciones,ACUEDUCTO,0.0
BARANOA,20437-ENERTOTAL S.A. E.S.P.,Numero de periodos,ACUEDUCTO,0.0
BARANOA,27691-QI ENERGY SAS ESP,Facturación total,ACUEDUCTO,0.0
BARANOA,27691-QI ENERGY SAS ESP,Facturación por consumo,ACUEDUCTO,0.0
BARANOA,27691-QI ENERGY SAS ESP,Consumo total ,ACUEDUCTO,0.0
BARANOA,27691-QI ENERGY SAS ESP,Numero de periodos,ACUEDUCTO,0.0
BARANOA,31191-TERPEL ENERGIA S.A.S E.S.P,Numero de periodos,ACUEDUCTO,0.0
BARANOA,45298-NEU ENERGY SAS ESP,Numero de periodos,ACUEDUCTO,0.0
BARANOA,48305-CARIBEMAR DE LA COSTA S.A.S. E.S.P.,Facturación total,ACUEDUCTO,0.0
BARANOA,48305-CARIBEMAR DE LA COSTA S.A.S. E.S.P.,Facturación por consumo,ACUEDUCTO,0.0
BARANOA,48305-CARIBEMAR DE LA COSTA S.A.S. E.S.P.,Consumo total ,ACUEDUCTO,0.0
BARANOA,48305-CARIBEMAR DE LA COSTA S.A.S. E.S.P.,Contribuciones,ACUEDUCTO,0.0
BARANOA,48307-AIR-E S.A.S. E.S.P.,Facturación total,ACUEDUCTO,0.0
BARANOA,48307-AIR-E S.A.S. E.S.P.,Facturación por consumo,ACUEDUCTO,0.0
BARANOA,48307-AIR-E S.A.S. E.S.P.,Consumo total ,ACUEDUCTO,0.0
BARANOA,48307-AIR-E S.A.S. E.S.P.,Subsidios,ACUEDUCTO,0.0
BARANOA,48307-AIR-E S.A.S. E.S.P.,Contribuciones,ACUEDUCTO,0.0
BARANOA,48307-AIR-E S.A.S. E.S.P.,Numero de periodos,ACUEDUCTO,0.0
BARANOA,59850-ENERBIT SAS ESP,Facturación total,ACUEDUCTO,0.0
BARANOA,59850-ENERBIT SAS ESP,Facturación por consumo,ACUEDUCTO,0.0
BARANOA,59850-ENERBIT SAS ESP,Consumo total ,ACUEDUCTO,0.0
BARANOA,59850-ENERBIT SAS ESP,Contribuciones,ACUEDUCTO,0.0
BARANOA,59850-ENERBIT SAS ESP,Numero de periodos,ACUEDUCTO,0.0
BARRANQUILLA,"82-SOCIEDAD DE ACUEDUCTO, ALCANTARILLADO Y ASEO DE BARRANQUILLA S.A. E.S.P.",Facturación total,ACUEDUCTO,1588865404315.0
BARRANQUILLA,"82-SOCIEDAD DE ACUEDUCTO, ALCANTARILLADO Y ASEO DE BARRANQUILLA S.A. E.S.P.",Consumo total ,ACUEDUCTO,108992325.0
BARRANQUILLA,"82-SOCIEDAD DE ACUEDUCTO, ALCANTARILLADO Y ASEO DE BARRANQUILLA S.A. E.S.P.",Numero de suscriptores ,ACUEDUCTO,360401.0
BARRANQUILLA,"82-SOCIEDAD DE ACUEDUCTO, ALCANTARILLADO Y ASEO DE BARRANQUILLA S.A. E.S.P.",Subsidios,ACUEDUCTO,82608714291.0
BARRANQUILLA,"82-SOCIEDAD DE ACUEDUCTO, ALCANTARILLADO Y ASEO DE BARRANQUILLA S.A. E.S.P.",Contribuciones,ACUEDUCTO,72858971911.0
BARRANQUILLA,"82-SOCIEDAD DE ACUEDUCTO, ALCANTARILLADO Y ASEO DE BARRANQUILLA S.A. E.S.P.",Promedio de Facturación total ,ACUEDUCTO,4408604.32
BARRANQUILLA,"82-SOCIEDAD DE ACUEDUCTO, ALCANTARILLADO Y ASEO DE BARRANQUILLA S.A. E.S.P.",Promedio de Consumo,ACUEDUCTO,302.42
BARRANQUILLA,"82-SOCIEDAD DE ACUEDUCTO, ALCANTARILLADO Y ASEO DE BARRANQUILLA S.A. E.S.P.",Numero de periodos,ACUEDUCTO,1.0
BARRANQUILLA,480-ISAGEN S.A. E.S.P.,Facturación total,ACUEDUCTO,0.0
BARRANQUILLA,480-ISAGEN S.A. E.S.P.,Facturación por consumo,ACUEDUCTO,0.0
BARRANQUILLA,480-ISAGEN S.A. E.S.P.,Consumo total ,ACUEDUCTO,0.0
BARRANQUILLA,480-ISAGEN S.A. E.S.P.,Contribuciones,ACUEDUCTO,0.0
BARRANQUILLA,480-ISAGEN S.A. E.S.P.,Numero de periodos,ACUEDUCTO,0.0
BARRANQUILLA,536-CELSIA COLOMBIA S.A. E.S.P.,Facturación total,ACUEDUCTO,0.0
BARRANQUILLA,536-CELSIA COLOMBIA S.A. E.S.P.,Facturación por consumo,ACUEDUCTO,0.0
BARRANQUILLA,536-CELSIA COLOMBIA S.A. E.S.P.,Consumo total ,ACUEDUCTO,0.0
BARRANQUILLA,536-CELSIA COLOMBIA S.A. E.S.P.,Contribuciones,ACUEDUCTO,0.0
BARRANQUILLA,536-CELSIA COLOMBIA S.A. E.S.P.,Numero de periodos,ACUEDUCTO,0.0
BARRANQUILLA,564-EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,Facturación total,ACUEDUCTO,0.0
BARRANQUILLA,564-EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,Facturación por consumo,ACUEDUCTO,0.0
BARRANQUILLA,564-EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,Consumo total ,ACUEDUCTO,0.0
BARRANQUILLA,564-EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,Contribuciones,ACUEDUCTO,0.0
BARRANQUILLA,564-EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,Numero de periodos,ACUEDUCTO,0.0
BARRANQUILLA,597-ENEL COLOMBIA S.A. E.S.P.,Facturación total,ACUEDUCTO,0.0
BARRANQUILLA,597-ENEL COLOMBIA S.A. E.S.P.,Facturación por consumo,ACUEDUCTO,0.0
BARRANQUILLA,597-ENEL COLOMBIA S.A. E.S.P.,Consumo total ,ACUEDUCTO,0.0
BARRANQUILLA,597-ENEL COLOMBIA S.A. E.S.P.,Contribuciones,ACUEDUCTO,0.0
BARRANQUILLA,597-ENEL COLOMBIA S.A. E.S.P.,Numero de periodos,ACUEDUCTO,0.0
BARRANQUILLA,1737-RUITOQUE S.A. E.S.P.,Facturación total,ACUEDUCTO,0.0
BARRANQUILLA,1737-RUITOQUE S.A. E.S.P.,Facturación por consumo,ACUEDUCTO,0.0
BARRANQUILLA,1737-RUITOQUE S.A. E.S.P.,Consumo total ,ACUEDUCTO,0.0
BARRANQUILLA,1737-RUITOQUE S.A. E.S.P.,Numero de periodos,ACUEDUCTO,0.0
BARRANQUILLA,1864-AES COLOMBIA & CIA S C A E S P,Facturación total,ACUEDUCTO,0.0
BARRANQUILLA,1864-AES COLOMBIA & CIA S C A E S P,Facturación por consumo,ACUEDUCTO,0.0
BARRANQUILLA,1864-AES COLOMBIA & CIA S C A E S P,Consumo total ,ACUEDUCTO,0.0
BARRANQUILLA,1864-AES COLOMBIA & CIA S C A E S P,Numero de periodos,ACUEDUCTO,0.0
BARRANQUILLA,2020-DISTRIBUIDORA Y COMERCIALIZADORA DE ENERGIA ELECTRICA S.A. E.S.P.,Facturación total,ACUEDUCTO,0.0
BARRANQUILLA,2020-DISTRIBUIDORA Y COMERCIALIZADORA DE ENERGIA ELECTRICA S.A. E.S.P.,Facturación por consumo,ACUEDUCTO,0.0
BARRANQUILLA,2020-DISTRIBUIDORA Y COMERCIALIZADORA DE ENERGIA ELECTRICA S.A. E.S.P.,Consumo total ,ACUEDUCTO,0.0
BARRANQUILLA,2020-DISTRIBUIDORA Y COMERCIALIZADORA DE ENERGIA ELECTRICA S.A. E.S.P.,Contribuciones,ACUEDUCTO,0.0
BARRANQUILLA,2020-DISTRIBUIDORA Y COMERCIALIZADORA DE ENERGIA ELECTRICA S.A. E.S.P.,Numero de periodos,ACUEDUCTO,0.0
BARRANQUILLA,2073-EMPRESA DE ENERGÍA DE PEREIRA S.A. ESP.,Facturación total,ACUEDUCTO,0.0
BARRANQUILLA,2073-EMPRESA DE ENERGÍA DE PEREIRA S.A. ESP.,Facturación por consumo,ACUEDUCTO,0.0
BARRANQUILLA,2073-EMPRESA DE ENERGÍA DE PEREIRA S.A. ESP.,Consumo total ,ACUEDUCTO,0.0
BARRANQUILLA,2073-EMPRESA DE ENERGÍA DE PEREIRA S.A. ESP.,Contribuciones,ACUEDUCTO,0.0
BARRANQUILLA,2073-EMPRESA DE ENERGÍA DE PEREIRA S.A. ESP.,Numero de periodos,ACUEDUCTO,0.0
BARRANQUILLA,2322-VATIA S.A. E.S.P.,Facturación total,ACUEDUCTO,0.0
BARRANQUILLA,2322-VATIA S.A. E.S.P.,Facturación por consumo,ACUEDUCTO,0.0
BARRANQUILLA,2322-VATIA S.A. E.S.P.,Consumo total ,ACUEDUCTO,0.0
BARRANQUILLA,2322-VATIA S.A. E.S.P.,Subsidios,ACUEDUCTO,0.0
BARRANQUILLA,2322-VATIA S.A. E.S.P.,Contribuciones,ACUEDUCTO,0.0
BARRANQUILLA,2322-VATIA S.A. E.S.P.,Numero de periodos,ACUEDUCTO,0.0
BARRANQUILLA,2378-DICELER S.A E.S.P.,Facturación total,ACUEDUCTO,0.0
BARRANQUILLA,2378-DICELER S.A E.S.P.,Facturación por consumo,ACUEDUCTO,0.0
BARRANQUILLA,2378-DICELER S.A E.S.P.,Consumo total ,ACUEDUCTO,0.0
BARRANQUILLA,2378-DICELER S.A E.S.P.,Contribuciones,ACUEDUCTO,0.0
BARRANQUILLA,2378-DICELER S.A E.S.P.,Numero de periodos,ACUEDUCTO,0.0
BARRANQUILLA,2438-EMPRESAS MUNICIPALES DE CALI   E.I.C.E  E.S.P,Facturación total,ACUEDUCTO,0.0
BARRANQUILLA,2438-EMPRESAS MUNICIPALES DE CALI   E.I.C.E  E.S.P,Facturación por consumo,ACUEDUCTO,0.0
BARRANQUILLA,2438-EMPRESAS MUNICIPALES DE CALI   E.I.C.E  E.S.P,Consumo total ,ACUEDUCTO,0.0
BARRANQUILLA,2438-EMPRESAS MUNICIPALES DE CALI   E.I.C.E  E.S.P,Contribuciones,ACUEDUCTO,0.0
BARRANQUILLA,2438-EMPRESAS MUNICIPALES DE CALI   E.I.C.E  E.S.P,Numero de periodos,ACUEDUCTO,0.0
BARRANQUILLA,2824-ENERCO S.A. E.S.P.,Facturación total,ACUEDUCTO,0.0
BARRANQUILLA,2824-ENERCO S.A. E.S.P.,Facturación por consumo,ACUEDUCTO,0.0
BARRANQUILLA,2824-ENERCO S.A. E.S.P.,Consumo total ,ACUEDUCTO,0.0
BARRANQUILLA,2824-ENERCO S.A. E.S.P.,Contribuciones,ACUEDUCTO,0.0
BARRANQUILLA,2824-ENERCO S.A. E.S.P.,Numero de periodos,ACUEDUCTO,0.0
BARRANQUILLA,20437-ENERTOTAL S.A. E.S.P.,Facturación total,ACUEDUCTO,0.0
BARRANQUILLA,20437-ENERTOTAL S.A. E.S.P.,Facturación por consumo,ACUEDUCTO,0.0
BARRANQUILLA,20437-ENERTOTAL S.A. E.S.P.,Consumo total ,ACUEDUCTO,0.0
BARRANQUILLA,20437-ENERTOTAL S.A. E.S.P.,Contribuciones,ACUEDUCTO,0.0
BARRANQUILLA,20437-ENERTOTAL S.A. E.S.P.,Numero de periodos,ACUEDUCTO,0.0
BARRANQUILLA,23330-PROFESIONALES EN ENERGÍA S.A E.S.P,Facturación total,ACUEDUCTO,0.0
BARRANQUILLA,23330-PROFESIONALES EN ENERGÍA S.A E.S.P,Facturación por consumo,ACUEDUCTO,0.0
BARRANQUILLA,23330-PROFESIONALES EN ENERGÍA S.A E.S.P,Consumo total ,ACUEDUCTO,0.0
BARRANQUILLA,23330-PROFESIONALES EN ENERGÍA S.A E.S.P,Contribuciones,ACUEDUCTO,0.0
BARRANQUILLA,23330-PROFESIONALES EN ENERGÍA S.A E.S.P,Numero de periodos,ACUEDUCTO,0.0
BARRANQUILLA,25984-ITALCOL ENERGIA S.A. ESP.,Facturación total,ACUEDUCTO,0.0
BARRANQUILLA,25984-ITALCOL ENERGIA S.A. ESP.,Facturación por consumo,ACUEDUCTO,0.0
BARRANQUILLA,25984-ITALCOL ENERGIA S.A. ESP.,Consumo total ,ACUEDUCTO,0.0
BARRANQUILLA,25984-ITALCOL ENERGIA S.A. ESP.,Contribuciones,ACUEDUCTO,0.0
BARRANQUILLA,25984-ITALCOL ENERGIA S.A. ESP.,Numero de periodos,ACUEDUCTO,0.0
BARRANQUILLA,26641-SPECTRUM RENOVAVEIS SAS ESP,Facturación total,ACUEDUCTO,0.0
BARRANQUILLA,26641-SPECTRUM RENOVAVEIS SAS ESP,Facturación por consumo,ACUEDUCTO,0.0
BARRANQUILLA,26641-SPECTRUM RENOVAVEIS SAS ESP,Consumo total ,ACUEDUCTO,0.0
BARRANQUILLA,26641-SPECTRUM RENOVAVEIS SAS ESP,Contribuciones,ACUEDUCTO,0.0
BARRANQUILLA,26641-SPECTRUM RENOVAVEIS SAS ESP,Numero de periodos,ACUEDUCTO,0.0
BARRANQUILLA,27691-QI ENERGY SAS ESP,Facturación total,ACUEDUCTO,0.0
BARRANQUILLA,27691-QI ENERGY SAS ESP,Facturación por consumo,ACUEDUCTO,0.0
BARRANQUILLA,27691-QI ENERGY SAS ESP,Consumo total ,ACUEDUCTO,0.0
BARRANQUILLA,27691-QI ENERGY SAS ESP,Subsidios,ACUEDUCTO,0.0
BARRANQUILLA,27691-QI ENERGY SAS ESP,Contribuciones,ACUEDUCTO,0.0
BARRANQUILLA,27691-QI ENERGY SAS ESP,Numero de periodos,ACUEDUCTO,0.0
BARRANQUILLA,31191-TERPEL ENERGIA S.A.S E.S.P,Facturación total,ACUEDUCTO,0.0
BARRANQUILLA,31191-TERPEL ENERGIA S.A.S E.S.P,Facturación por consumo,ACUEDUCTO,0.0
BARRANQUILLA,31191-TERPEL ENERGIA S.A.S E.S.P,Consumo total ,ACUEDUCTO,0.0
BARRANQUILLA,31191-TERPEL ENERGIA S.A.S E.S.P,Contribuciones,ACUEDUCTO,0.0
BARRANQUILLA,31191-TERPEL ENERGIA S.A.S E.S.P,Numero de periodos,ACUEDUCTO,0.0
BARRANQUILLA,45298-NEU ENERGY SAS ESP,Numero de periodos,ACUEDUCTO,0.0
BARRANQUILLA,48305-CARIBEMAR DE LA COSTA S.A.S. E.S.P.,Facturación total,ACUEDUCTO,0.0
BARRANQUILLA,48305-CARIBEMAR DE LA COSTA S.A.S. E.S.P.,Facturación por consumo,ACUEDUCTO,0.0
BARRANQUILLA,48305-CARIBEMAR DE LA COSTA S.A.S. E.S.P.,Consumo total ,ACUEDUCTO,0.0
BARRANQUILLA,48305-CARIBEMAR DE LA COSTA S.A.S. E.S.P.,Contribuciones,ACUEDUCTO,0.0
BARRANQUILLA,48305-CARIBEMAR DE LA COSTA S.A.S. E.S.P.,Numero de periodos,ACUEDUCTO,0.0
BARRANQUILLA,48307-AIR-E S.A.S. E.S.P.,Facturación total,ACUEDUCTO,0.0
BARRANQUILLA,48307-AIR-E S.A.S. E.S.P.,Facturación por consumo,ACUEDUCTO,0.0
BARRANQUILLA,48307-AIR-E S.A.S. E.S.P.,Consumo total ,ACUEDUCTO,0.0
BARRANQUILLA,48307-AIR-E S.A.S. E.S.P.,Subsidios,ACUEDUCTO,0.0
BARRANQUILLA,48307-AIR-E S.A.S. E.S.P.,Contribuciones,ACUEDUCTO,0.0
BARRANQUILLA,48307-AIR-E S.A.S. E.S.P.,Numero de periodos,ACUEDUCTO,0.0
BARRANQUILLA,48663-GREENYELLOW COMERCIALIZADORA SAS ESP,Facturación total,ACUEDUCTO,0.0
BARRANQUILLA,48663-GREENYELLOW COMERCIALIZADORA SAS ESP,Facturación por consumo,ACUEDUCTO,0.0
BARRANQUILLA,48663-GREENYELLOW COMERCIALIZADORA SAS ESP,Consumo total ,ACUEDUCTO,0.0
BARRANQUILLA,48663-GREENYELLOW COMERCIALIZADORA SAS ESP,Numero de periodos,ACUEDUCTO,0.0
BARRANQUILLA,54406-TRANSACCIONES ENERGETICAS S.A.S EMPRESA DE SERVICIOS PÚBLICOS E.S.P,Facturación total,ACUEDUCTO,0.0
BARRANQUILLA,54406-TRANSACCIONES ENERGETICAS S.A.S EMPRESA DE SERVICIOS PÚBLICOS E.S.P,Facturación por consumo,ACUEDUCTO,0.0
BARRANQUILLA,54406-TRANSACCIONES ENERGETICAS S.A.S EMPRESA DE SERVICIOS PÚBLICOS E.S.P,Consumo total ,ACUEDUCTO,0.0
BARRANQUILLA,54406-TRANSACCIONES ENERGETICAS S.A.S EMPRESA DE SERVICIOS PÚBLICOS E.S.P,Contribuciones,ACUEDUCTO,0.0
BARRANQUILLA,54406-TRANSACCIONES ENERGETICAS S.A.S EMPRESA DE SERVICIOS PÚBLICOS E.S.P,Numero de periodos,ACUEDUCTO,0.0
BARRANQUILLA,59850-ENERBIT SAS ESP,Facturación total,ACUEDUCTO,0.0
BARRANQUILLA,59850-ENERBIT SAS ESP,Facturación por consumo,ACUEDUCTO,0.0
BARRANQUILLA,59850-ENERBIT SAS ESP,Consumo total ,ACUEDUCTO,0.0
BARRANQUILLA,59850-ENERBIT SAS ESP,Subsidios,ACUEDUCTO,0.0
BARRANQUILLA,59850-ENERBIT SAS ESP,Contribuciones,ACUEDUCTO,0.0
BARRANQUILLA,59850-ENERBIT SAS ESP,Numero de periodos,ACUEDUCTO,0.0
BARRANQUILLA,62071-ENEL X COLOMBIA SAS ESP,Facturación total,ACUEDUCTO,0.0
BARRANQUILLA,62071-ENEL X COLOMBIA SAS ESP,Facturación por consumo,ACUEDUCTO,0.0
BARRANQUILLA,62071-ENEL X COLOMBIA SAS ESP,Consumo total ,ACUEDUCTO,0.0
