Año,SERVICIO,Número de Reclamos
2021,ACUEDUCTO,370982
2021,ALCANTARILLADO,278075
2021,ASEO,102368
2021,ENERGIA,1400438
2021,GAS,62069
2022,ACUEDUCTO,886976
2022,ALCANTARILLADO,859615
2022,ASEO,347591
2022,ENERGIA,1679709
2022,GAS,36067
2023,ACUEDUCTO,1459596
2023,ALCANTARILLADO,1304181
2023,ASEO,810299
2023,ENERGIA,2515530
2023,GAS,34098
2024,ACUEDUCTO,1380224
2024,ALCANTARILLADO,1205376
2024,ASEO,1308819
2024,ENERGIA,2189670
2024,GAS,24082
2025,ACUEDUCTO,332998
2025,ALCANTARILLADO,326162
2025,ASEO,337947
2025,ENERGIA,773681
2025,GAS,9166
