MUNICIPIO,SERVICIO,Número de Reclamos
BARRANQUILLA,ACUEDUCTO,42376
SOLEDAD,ACUEDUCTO,38773
PUERTO COLOMBIA,ACUEDUCTO,38499
SABANALARGA,ACUEDUCTO,26536
GALAPA,ACUEDUCTO,21443
SABANAGRANDE,ACUEDUCTO,20307
BARANOA,ACUEDUCTO,19947
MALAMBO,ACUEDUCTO,16339
POLONUEVO,ACUEDUCTO,15336
SANTO TOMAS,ACUEDUCTO,15125
JUAN DE ACOSTA,ACUEDUCTO,13711
TUBARA,ACUEDUCTO,11278
PALMAR DE VARELA,ACUEDUCTO,9769
USIACURI,ACUEDUCTO,8409
PONEDERA,ACUEDUCTO,8302
PIOJO,ACUEDUCTO,2304
REPELON,ACUEDUCTO,1440
MANATI,ACUEDUCTO,1294
CAMPO DE LA CRUZ,ACUEDUCTO,1090
LURUACO,ACUEDUCTO,808
CANDELARIA,ACUEDUCTO,637
SANTA LUCIA,ACUEDUCTO,172
SUAN,ACUEDUCTO,2
BARRANQUILLA,ALCANTARILLADO,40004
SOLEDAD,ALCANTARILLADO,34839
PUERTO COLOMBIA,ALCANTARILLADO,31648
SABANALARGA,ALCANTARILLADO,22490
GALAPA,ALCANTARILLADO,18980
BARANOA,ALCANTARILLADO,18837
SABANAGRANDE,ALCANTARILLADO,16777
SANTO TOMAS,ALCANTARILLADO,15869
POLONUEVO,ALCANTARILLADO,13107
PALMAR DE VARELA,ALCANTARILLADO,5156
USIACURI,ALCANTARILLADO,4289
TUBARA,ALCANTARILLADO,3124
MALAMBO,ALCANTARILLADO,1730
JUAN DE ACOSTA,ALCANTARILLADO,709
CAMPO DE LA CRUZ,ALCANTARILLADO,396
REPELON,ALCANTARILLADO,294
PONEDERA,ALCANTARILLADO,286
MANATI,ALCANTARILLADO,134
LURUACO,ALCANTARILLADO,96
PIOJO,ALCANTARILLADO,56
CANDELARIA,ALCANTARILLADO,46
SANTA LUCIA,ALCANTARILLADO,4
BARRANQUILLA,ASEO,34105
SABANALARGA,ASEO,25677
PUERTO COLOMBIA,ASEO,25269
GALAPA,ASEO,19847
SOLEDAD,ASEO,19232
MALAMBO,ASEO,10154
TUBARA,ASEO,9072
BARANOA,ASEO,6559
PONEDERA,ASEO,3709
SABANAGRANDE,ASEO,2576
SANTO TOMAS,ASEO,2351
PALMAR DE VARELA,ASEO,1702
POLONUEVO,ASEO,1329
USIACURI,ASEO,855
JUAN DE ACOSTA,ASEO,823
REPELON,ASEO,543
CAMPO DE LA CRUZ,ASEO,402
LURUACO,ASEO,346
SUAN,ASEO,336
MANATI,ASEO,230
PIOJO,ASEO,205
CANDELARIA,ASEO,176
SANTA LUCIA,ASEO,25
PUERTO COLOMBIA,ENERGIA,49421
MALAMBO,ENERGIA,44062
GALAPA,ENERGIA,43737
BARANOA,ENERGIA,41911
SABANALARGA,ENERGIA,41132
SOLEDAD,ENERGIA,39730
BARRANQUILLA,ENERGIA,35106
SABANAGRANDE,ENERGIA,33088
SANTO TOMAS,ENERGIA,32101
REPELON,ENERGIA,28756
PALMAR DE VARELA,ENERGIA,27401
POLONUEVO,ENERGIA,26525
JUAN DE ACOSTA,ENERGIA,24001
LURUACO,ENERGIA,23709
TUBARA,ENERGIA,23429
CAMPO DE LA CRUZ,ENERGIA,21676
PONEDERA,ENERGIA,21258
MANATI,ENERGIA,13268
SUAN,ENERGIA,13102
USIACURI,ENERGIA,10828
CANDELARIA,ENERGIA,10810
PIOJO,ENERGIA,6076
SANTA LUCIA,ENERGIA,5612
BARRANQUILLA,GAS,25469
SOLEDAD,GAS,14895
MALAMBO,GAS,5600
PUERTO COLOMBIA,GAS,4658
SABANALARGA,GAS,4181
GALAPA,GAS,3283
BARANOA,GAS,1717
LURUACO,GAS,1288
SABANAGRANDE,GAS,1157
SANTO TOMAS,GAS,898
JUAN DE ACOSTA,GAS,757
PALMAR DE VARELA,GAS,755
CANDELARIA,GAS,642
CAMPO DE LA CRUZ,GAS,641
TUBARA,GAS,575
POLONUEVO,GAS,557
REPELON,GAS,556
PONEDERA,GAS,471
SANTA LUCIA,GAS,423
MANATI,GAS,398
SUAN,GAS,224
USIACURI,GAS,179
PIOJO,GAS,144
