MUNICIPIO,SERVICIO,Número de Reclamos
BARRANQUILLA,ACUEDUCTO,42376
SOLEDAD,ACUEDUCTO,38773
PUERTO COLOMBIA,ACUEDUCTO,38499
SABANALARGA,ACUEDUCTO,26536
GALAPA,ACUEDUCTO,21443
BARRANQUILLA,ALCANTARILLADO,40004
SOLEDAD,ALCANTARILLADO,34839
PUERTO COLOMBIA,ALCANTARILLADO,31648
SABANALARGA,ALCANTARILLADO,22490
GALAPA,ALCANTARILLADO,18980
BARRANQUILLA,ASEO,34105
SABANALARGA,ASEO,25677
PUERTO COLOMBIA,ASEO,25269
GALAPA,ASEO,19847
SOLEDAD,ASEO,19232
PUERTO COLOMBIA,ENERGIA,49421
MALAMBO,ENERGIA,44062
GALAPA,ENERGIA,43737
BARANOA,ENERGIA,41911
SABANALARGA,ENERGIA,41132
BARRANQUILLA,GAS,25469
SOLEDAD,GAS,14895
MALAMBO,GAS,5600
PUERTO COLOMBIA,GAS,4658
SABANALARGA,GAS,4181
